IDPROFESSOR;IDCURSO
146;3
146;4
146;12
146;13
182;12
184;1
184;12
184;13
184;19
190;5
226;1
226;6
226;13
226;15
245;18
342;17
395;1
395;6
395;13
449;1
449;4
449;5
449;13
519;1
519;6
519;13
522;12
550;6
683;5
683;12
683;13
686;4
686;5
686;11
686;15
686;21
690;4
690;11
690;12
690;13
728;4
728;6
728;11
728;13
743;4
743;11
743;12
743;13
765;6
765;13
765;15
805;6
805;11
805;12
805;13
849;5
849;12
849;13
849;15
913;4
913;5
913;11
913;12
913;13
913;22
953;4
953;7
953;15
1012;5
1012;12
1012;13
1012;20
1012;22
1014;4
1014;5
1014;11
1014;12
1014;13
1054;6
1054;13
1054;15
1054;20
1084;3
1084;4
1084;11
1084;12
1084;13
1107;1
1107;5
1107;6
1107;12
1107;13
1107;15
1113;6
1113;13
1113;18
1116;1
1116;5
1116;15
1116;20
1154;13
1161;4
1161;5
1161;10
1161;12
1161;13
1167;5
1167;6
1167;13
1167;15
1173;4
1182;5
1182;12
1182;13
1182;15
1188;3
1188;5
1188;12
1188;13
1193;4
1193;10
1193;12
1223;3
1223;12
1223;13
1223;15
1259;5
1259;12
1259;13
1288;3
1288;4
1288;13
1288;15
1291;11
1291;12
1291;13
1294;6
1294;13
1294;14
1294;19
1300;12
1300;13
1300;15
1347;4
1347;5
1347;6
1347;12
1347;13
1347;22
1357;5
1357;6
1357;13
1391;4
1391;5
1391;11
1391;16
1399;4
1399;5
1399;13
1412;11
1412;13
1457;1
1457;5
1457;6
1457;13
1457;15
1482;3
1482;4
1482;11
1482;13
1489;5
1489;12
1489;13
1502;5
1502;6
1502;12
1502;13
1502;20
1540;5
1540;6
1540;12
1540;15
1540;16
1543;5
1543;13
1543;15
1583;11
1583;13
1585;4
1585;12
1585;13
1585;20
1617;4
1617;13
1617;16
2048;3
2048;5
2048;13
2076;11
2076;12
2076;13
2114;1
2114;4
2114;12
2114;13
2114;16
2346;12
2346;13
13699;3
13699;11
13828;6
13828;12
35245;1
35245;12
35245;13
35259;4
35259;6
35259;13
35259;16
44206;3
44206;4
44206;5
44206;12
44206;13
46494;5
46494;6
46494;11
46494;12
46494;13
46793;12
46793;13
46793;21
46793;22
48266;12
48266;13
48266;22
48922;4
48922;5
48922;11
49332;13
49332;22
50453;17
50588;4
50588;12
50588;13
51797;6
51797;12
51797;15
51797;20
52945;4
52945;5
52945;9
52945;11
52945;12
52945;13
53429;4
53429;11
53429;13
54448;4
54448;11
54448;13
56939;11
56939;12
56939;13
57070;5
57070;13
57070;22
57257;11
57257;12
57257;13
57290;5
57290;11
57290;13
57290;15
57309;12
57309;13
57309;15
57309;16
57381;5
57381;12
57381;13
57381;15
57381;20
57417;3
57417;5
57417;6
57417;13
57417;16
57455;6
57455;13
57639;4
57639;5
57639;12
57639;13
57639;16
57649;4
57649;12
57649;13
57972;12
57972;13
57972;16
57972;20
58096;4
58096;5
58096;12
58096;13
58543;11
58543;12
58543;13
59008;4
59008;12
59008;16
61726;2
61726;5
61726;15
61726;16
62344;4
62344;5
62344;13
62344;16
63099;4
63099;10
63099;11
63099;12
63099;21
63270;5
63270;12
63270;13
63756;4
63756;5
63756;6
63756;12
63756;20
63882;4
63882;11
63882;13
64727;4
64727;16
64727;20
64790;4
64790;6
64790;12
64790;13
65161;12
65341;13
65341;16
65877;5
65877;12
65877;13
65877;15
65877;16
65941;12
66626;4
67720;4
67720;12
67720;13
67720;16
68173;4
68173;5
68173;13
68182;11
68650;13
69242;3
69242;5
69242;12
69985;4
69985;11
69985;12
69990;4
69990;5
69990;11
69990;12
69990;13
69990;15
69995;4
69995;13
69995;15
70171;16
70342;4
70342;5
70342;11
70342;12
70342;13
70342;22
70373;3
70373;4
70373;11
70373;12
70373;22
70500;12
70500;13
70500;16
71117;4
71117;6
71117;12
71117;13
71117;15
72039;5
72039;11
72039;12
72051;5
72051;11
72051;12
73235;16
73383;11
73383;12
74355;4
74355;13
75379;4
75379;5
75379;13
75379;16
75421;3
75421;11
75421;12
75421;13
75453;4
75453;5
75453;12
75453;15
75453;16
75958;4
77145;8
77145;16
78626;6
78631;5
78631;13
78631;16
78645;5
78645;12
80140;5
80140;11
80140;12
80140;13
80140;15
80479;5
80479;13
80479;21
82067;8
82070;4
82070;5
82070;11
82070;13
82080;12
82080;13
82080;16
82080;20
82085;13
82085;16
83288;5
83288;12
83288;13
84328;11
85646;5
85646;16
85669;4
85669;5
85669;6
85669;13
85669;15
85687;5
85687;8
85700;8
85700;12
85710;5
85710;13
85710;15
85710;20
86055;8
86055;11
86157;11
86157;15
86213;11
86213;12
86213;15
87001;11
87001;12
87984;11
87984;12
87984;16
88486;6
88486;13
88653;12
88653;13
89226;5
89226;13
89226;20
90927;16
90942;5
90998;12
90998;16
91053;12
91053;13
91053;16
91896;4
91896;12