IDPROFESSOR;IDLOCAL
146;7
182;4
184;6
184;7
190;1
226;1
226;5
226;7
245;1
342;1
395;4
395;7
449;4
519;4
522;4
550;4
683;4
686;1
686;3
686;6
690;4
728;4
728;7
743;4
765;1
765;6
805;4
849;1
849;6
913;5
953;1
953;3
1012;1
1012;5
1014;4
1054;1
1084;6
1107;1
1107;4
1113;1
1116;1
1154;7
1161;1
1161;5
1167;1
1167;3
1167;7
1173;5
1182;1
1182;6
1188;4
1188;7
1193;3
1193;7
1223;7
1259;4
1288;1
1288;4
1288;7
1291;6
1294;1
1294;6
1300;7
1347;1
1347;4
1347;6
1347;7
1357;1
1391;1
1391;3
1391;6
1391;7
1399;1
1399;7
1412;6
1457;1
1457;7
1482;6
1489;6
1502;1
1502;4
1540;1
1540;3
1543;4
1543;7
1583;6
1585;4
1585;5
1617;4
1617;6
2048;6
2048;7
2076;8
2114;8
2346;8
13699;6
13828;4
35245;5
35245;7
35259;1
35259;4
44206;1
44206;4
44206;7
46494;1
46494;4
46793;5
46793;6
48266;6
48266;7
48922;4
49332;6
49332;7
50453;1
50588;5
51797;5
51797;6
51797;7
52945;3
52945;5
52945;7
53429;8
54448;5
54448;7
56939;8
57070;1
57070;6
57070;7
57257;6
57290;4
57290;7
57309;1
57309;6
57309;7
57381;4
57417;7
57455;4
57455;5
57455;6
57455;7
57639;1
57639;3
57639;7
57649;8
57972;1
57972;9
58096;1
58096;3
58096;6
58096;7
58543;3
58543;7
59008;4
59008;7
61726;1
62344;1
62344;3
63099;6
63099;7
63270;5
63270;7
63756;1
63756;5
63756;7
63882;9
64727;5
64727;7
64790;7
65161;5
65161;7
65341;6
65877;1
65877;9
65941;7
66626;5
67720;4
67720;7
68173;4
68182;6
68650;7
69242;4
69242;6
69985;4
69990;1
69990;4
69990;6
69995;1
69995;5
69995;7
70171;6
70342;4
70342;5
70342;6
70373;6
70500;7
71117;1
71117;4
72039;9
72051;4
72051;7
73235;1
73383;4
74355;8
75379;1
75379;5
75379;7
75421;6
75453;1
75453;6
75453;7
75958;4
77145;6
78626;4
78631;1
78631;3
78631;7
78645;4
80140;8
80479;5
82067;1
82070;9
82080;4
82085;6
83288;1
83288;9
84328;9
85646;5
85646;7
85669;1
85669;3
85687;1
85700;7
85710;1
85710;7
86055;7
86157;8
86213;8
87001;9
87984;8
88486;1
88653;8
89226;8
90927;6
90942;8
90998;8
91053;7
91896;4