prefixo;tipo;metrica;teste_1;teste_2;teste_3;teste_4
resultado_final_melhor_full_teste_;carga_horaria_professor;desvio;454.9;419.89;459.87;448.44
resultado_final_melhor_full_teste_;carga_horaria_professor;max;2275.0;1860.0;2240.0;2195.0
resultado_final_melhor_full_teste_;carga_horaria_professor;media;951.87;934.57;957.43;949.43
resultado_final_melhor_full_teste_;carga_horaria_professor;min;120.0;120.0;120.0;120.0
resultado_final_melhor_full_teste_;quantidade_turmas_professor;desvio;2.62;2.37;2.68;2.57
resultado_final_melhor_full_teste_;quantidade_turmas_professor;max;15.0;10.0;13.0;13.0
resultado_final_melhor_full_teste_;quantidade_turmas_professor;media;5.46;5.35;5.49;5.44
resultado_final_melhor_full_teste_;quantidade_turmas_professor;min;1.0;1.0;1.0;1.0
resultado_final_melhor_full_teste_;resultado_liquido_turma;desvio;794.23;796.21;795.97;794.01
resultado_final_melhor_full_teste_;resultado_liquido_turma;max;3227.48;3170.8;3183.65;3186.2
resultado_final_melhor_full_teste_;resultado_liquido_turma;media;937.2;940.17;938.84;937.08
resultado_final_melhor_full_teste_;resultado_liquido_turma;min;-494.6;-480.96;-492.15;-551.79
resultado_final_melhor_medio_teste_;carga_horaria_professor;desvio;408.88;353.58;415.26;361.36
resultado_final_melhor_medio_teste_;carga_horaria_professor;max;2370.0;1775.0;2240.0;1790.0
resultado_final_melhor_medio_teste_;carga_horaria_professor;media;831.12;847.7;822.11;829.78
resultado_final_melhor_medio_teste_;carga_horaria_professor;min;150.0;180.0;120.0;180.0
resultado_final_melhor_medio_teste_;quantidade_turmas_professor;desvio;2.23;1.95;2.31;2.06
resultado_final_melhor_medio_teste_;quantidade_turmas_professor;max;13.0;9.0;13.0;10.0
resultado_final_melhor_medio_teste_;quantidade_turmas_professor;media;4.63;4.71;4.58;4.62
resultado_final_melhor_medio_teste_;quantidade_turmas_professor;min;1.0;1.0;1.0;1.0
resultado_final_melhor_medio_teste_;resultado_liquido_turma;desvio;715.24;719.68;716.07;721.95
resultado_final_melhor_medio_teste_;resultado_liquido_turma;max;2882.99;2930.99;2932.63;2958.69
resultado_final_melhor_medio_teste_;resultado_liquido_turma;media;895.15;893.17;891.47;892.21
resultado_final_melhor_medio_teste_;resultado_liquido_turma;min;-494.6;-525.77;-525.77;-551.79
resultado_final_melhor_micro_teste_;carga_horaria_professor;desvio;328.8;273.87;340.52;345.76
resultado_final_melhor_micro_teste_;carga_horaria_professor;max;1170.0;1170.0;1155.0;1560.0
resultado_final_melhor_micro_teste_;carga_horaria_professor;media;607.5;694.29;694.29;810.0
resultado_final_melhor_micro_teste_;carga_horaria_professor;min;195.0;390.0;195.0;585.0
resultado_final_melhor_micro_teste_;quantidade_turmas_professor;desvio;1.36;1.03;1.67;1.57
resultado_final_melhor_micro_teste_;quantidade_turmas_professor;max;5.0;5.0;6.0;7.0
resultado_final_melhor_micro_teste_;quantidade_turmas_professor;media;2.88;3.29;3.29;3.83
resultado_final_melhor_micro_teste_;quantidade_turmas_professor;min;1.0;2.0;1.0;2.0
resultado_final_melhor_micro_teste_;resultado_liquido_turma;desvio;398.14;396.22;368.46;379.74
resultado_final_melhor_micro_teste_;resultado_liquido_turma;max;1492.67;1539.88;1460.99;1539.88
resultado_final_melhor_micro_teste_;resultado_liquido_turma;media;1038.48;1014.04;1027.47;1030.68
resultado_final_melhor_micro_teste_;resultado_liquido_turma;min;-273.52;-185.2;-153.52;-153.52
resultado_final_melhor_pequeno_teste_;carga_horaria_professor;desvio;281.11;338.86;390.17;301.06
resultado_final_melhor_pequeno_teste_;carga_horaria_professor;max;1170.0;1305.0;1170.0;1320.0
resultado_final_melhor_pequeno_teste_;carga_horaria_professor;media;833.93;729.69;778.33;833.93
resultado_final_melhor_pequeno_teste_;carga_horaria_professor;min;195.0;180.0;180.0;195.0
resultado_final_melhor_pequeno_teste_;quantidade_turmas_professor;desvio;1.59;1.88;2.02;1.63
resultado_final_melhor_pequeno_teste_;quantidade_turmas_professor;max;6.0;7.0;6.0;7.0
resultado_final_melhor_pequeno_teste_;quantidade_turmas_professor;media;4.36;3.81;4.07;4.36
resultado_final_melhor_pequeno_teste_;quantidade_turmas_professor;min;1.0;1.0;1.0;1.0
resultado_final_melhor_pequeno_teste_;resultado_liquido_turma;desvio;476.91;474.76;474.36;465.84
resultado_final_melhor_pequeno_teste_;resultado_liquido_turma;max;1915.0;1919.48;1892.38;1919.48
resultado_final_melhor_pequeno_teste_;resultado_liquido_turma;media;880.88;863.11;874.5;856.9
resultado_final_melhor_pequeno_teste_;resultado_liquido_turma;min;-256.9;-161.38;-171.74;-153.52
resultado_final_pior_full_teste_;carga_horaria_professor;desvio;435.33;436.46;455.51;454.35
resultado_final_pior_full_teste_;carga_horaria_professor;max;2020.0;2040.0;2330.0;2255.0
resultado_final_pior_full_teste_;carga_horaria_professor;media;938.96;930.27;942.18;941.58
resultado_final_pior_full_teste_;carga_horaria_professor;min;135.0;120.0;135.0;120.0
resultado_final_pior_full_teste_;quantidade_turmas_professor;desvio;2.53;2.49;2.68;2.57
resultado_final_pior_full_teste_;quantidade_turmas_professor;max;12.0;11.0;14.0;14.0
resultado_final_pior_full_teste_;quantidade_turmas_professor;media;5.39;5.33;5.4;5.39
resultado_final_pior_full_teste_;quantidade_turmas_professor;min;1.0;1.0;1.0;1.0
resultado_final_pior_full_teste_;resultado_liquido_turma;desvio;795.72;798.04;800.87;792.96
resultado_final_pior_full_teste_;resultado_liquido_turma;max;3183.65;3170.8;3183.65;3273.41
resultado_final_pior_full_teste_;resultado_liquido_turma;media;936.54;940.94;934.67;937.46
resultado_final_pior_full_teste_;resultado_liquido_turma;min;-494.6;-480.96;-492.15;-551.79
resultado_final_pior_medio_teste_;carga_horaria_professor;desvio;423.74;375.03;422.86;358.0
resultado_final_pior_medio_teste_;carga_horaria_professor;max;2355.0;1960.0;2090.0;1785.0
resultado_final_pior_medio_teste_;carga_horaria_professor;media;819.89;827.53;813.08;806.15
resultado_final_pior_medio_teste_;carga_horaria_professor;min;150.0;180.0;120.0;150.0
resultado_final_pior_medio_teste_;quantidade_turmas_professor;desvio;2.32;2.09;2.35;2.02
resultado_final_pior_medio_teste_;quantidade_turmas_professor;max;13.0;10.0;12.0;10.0
resultado_final_pior_medio_teste_;quantidade_turmas_professor;media;4.57;4.6;4.53;4.48
resultado_final_pior_medio_teste_;quantidade_turmas_professor;min;1.0;1.0;1.0;1.0
resultado_final_pior_medio_teste_;resultado_liquido_turma;desvio;715.84;718.95;717.1;723.39
resultado_final_pior_medio_teste_;resultado_liquido_turma;max;2958.69;2916.16;2932.63;2958.69
resultado_final_pior_medio_teste_;resultado_liquido_turma;media;894.87;896.05;890.67;895.75
resultado_final_pior_medio_teste_;resultado_liquido_turma;min;-525.77;-525.77;-525.77;-551.79
resultado_final_pior_micro_teste_;carga_horaria_professor;desvio;219.2;178.33;370.62;463.21
resultado_final_pior_micro_teste_;carga_horaria_professor;max;780.0;780.0;1365.0;1560.0
resultado_final_pior_micro_teste_;carga_horaria_professor;media;540.0;540.0;607.5;694.29
resultado_final_pior_micro_teste_;carga_horaria_professor;min;195.0;195.0;195.0;195.0
resultado_final_pior_micro_teste_;quantidade_turmas_professor;desvio;1.07;0.68;1.54;2.05
resultado_final_pior_micro_teste_;quantidade_turmas_professor;max;4.0;3.0;6.0;7.0
resultado_final_pior_micro_teste_;quantidade_turmas_professor;media;2.56;2.56;2.88;3.29
resultado_final_pior_micro_teste_;quantidade_turmas_professor;min;1.0;1.0;1.0;1.0
resultado_final_pior_micro_teste_;resultado_liquido_turma;desvio;391.34;392.87;363.47;370.32
resultado_final_pior_micro_teste_;resultado_liquido_turma;max;1492.67;1539.88;1406.9;1517.03
resultado_final_pior_micro_teste_;resultado_liquido_turma;media;1033.64;1003.61;991.04;1009.1
resultado_final_pior_micro_teste_;resultado_liquido_turma;min;-273.52;-185.2;-153.52;-153.52
resultado_final_pior_pequeno_teste_;carga_horaria_professor;desvio;310.05;361.29;356.37;391.05
resultado_final_pior_pequeno_teste_;carga_horaria_professor;max;1365.0;1485.0;1260.0;1605.0
resultado_final_pior_pequeno_teste_;carga_horaria_professor;media;729.69;729.69;778.33;778.33
resultado_final_pior_pequeno_teste_;carga_horaria_professor;min;195.0;195.0;195.0;195.0
resultado_final_pior_pequeno_teste_;quantidade_turmas_professor;desvio;1.67;2.04;1.84;2.08
resultado_final_pior_pequeno_teste_;quantidade_turmas_professor;max;6.0;8.0;7.0;9.0
resultado_final_pior_pequeno_teste_;quantidade_turmas_professor;media;3.81;3.81;4.07;4.07
resultado_final_pior_pequeno_teste_;quantidade_turmas_professor;min;1.0;1.0;1.0;1.0
resultado_final_pior_pequeno_teste_;resultado_liquido_turma;desvio;478.31;477.4;474.47;471.39
resultado_final_pior_pequeno_teste_;resultado_liquido_turma;max;1915.0;1919.48;1892.38;1915.0
resultado_final_pior_pequeno_teste_;resultado_liquido_turma;media;886.14;863.12;870.63;847.61
resultado_final_pior_pequeno_teste_;resultado_liquido_turma;min;-358.06;-161.38;-273.52;-204.75
